하르방 	 할아버지
송락 	 무당들 쓰는 모자
요령 	 방울
복치메 	 상복치마
구덕 	 바구니
고량착 	 대로만든채롱
낭푼이 	 양푼
그릇대배기 	 물긷는그릇
물구루마 	 마차
바농 	 바늘
박새기 	 바가지
숟구락 	 수저
제끄락 	 젓갈
주멩기 	 주머니
허벅 	 물을길어나르는통
남죽 	 큰밥주걱
대접 	 국사발
도고리 	 함지박
소리바굼지 	 도시락통
솔박 	 바가지
수박귀 	 밥사발
우금 	 작은밥자
작박 	 작은바가지
장탱이 	 설거지통
항 	 항아리
함박 	 나무로만든도고리
가레죽 	 삽
곡괭이 	 곡괭이
골갱이 	 호미
골각지 	 호미
군데 	 고무래
날레군데	 날레 젓는 거
가레 	 맷돌
갈체 	 상태기
돌끌 	 돌 발르는 끌
다께 	 도리깨
멕 	 멱서리
말방에 	 연자마
벤줄레 	 쐐괘
부게 	 씨앗그릇
쉐스렁 	 쉐거름낼때
씻부게 	 씨앗
잠데 	 쟁기
호미 	 낫
고냥 독생이 	 굴뚝새
놀개기 	 날개
박생이 	 동박새
독 	 닭
독새기 	 닭
고냉이 	 고양이
송애기 	 송아지
몽생이 	 망아지
돗 	 돼지
도새기 	 돼지
밭갈쇠 	 밭을 가는 소
부랭이 	 숫소
염송애기 	 염소
강생이 	 강아지
중이 	 쥐
갓돔 	 도미
겡이 	 게
구젱기 	 소라
물꾸럭 	 문어
게염지 	 개미
멩마구리 	 맹꽁이
베랭이 	 버러지
베염 	 뱀
빙애기 	 병아리
생이 	 새
나람쥐 	 다람쥐
죙이 	 쥐
여호 	 여우
노리 	 노루
빙아리 	 병아리
쉐 	 소
쉐막 	 외양간
도세기 	 돼지
두테비 	 두꺼비
골개비 	 개구리
젱비리 	 올챙이
송키 	 채소
지실 	 감자
감저 	 고구마
어욱 	 억새
태역 	 잔디
모물 	 메밀
굴묵낭 	 느티나무
가라지 	 강아지풀
꿩마농 	 달래
도채비고장 	 산수국
숙대낭 	 삼나무
퐁낭 	 팽나무
가베또롱호다 	 가뿐하다
간드랑호다 	 시원하다
간세호다 	 게으르다
거령청호다 	 분수가없다
곧작호다 	 곧다
과랑과랑호다 	 쨍쨍하다
금착호다 	 조마조마하다
고렵다 	 가렵다
돌코롬호다 	 달콤하다
메뜩호다 	 통쾌하다
멘도롱호다 	 따뜻하다
모드락호다 	 한곳에모여있다
몰치락호다 	 포동포동하다
벤조롱호다 	 젊게보이다
부치럽다 	 부끄럽다
돌글랑호다 	 동그랗다
봉끄랑호다 	 퉁퉁하다
보랑지다 	 부지런하다
펀드렁호다 	 시치미를뗀모양하다
해또록호다 	 희끔하다
산도록호다 	 시원하다
썸찌근호다 	 지긋지긋하다
실렵다 	 차겁다
심드랑호다 	 관심이없다
슴두렁펀펀호다 	 아무런가치없다
솔치다 	 살찌다
앙살호다 	 사납게소리치다
앨록호다 	 더럽다
어중구랑호다 	 흐리멍텅하다
얼랍지다 	 당황하다
얼랍지다 	 궁금하다
엄부랑호다 	 엄청나다
오들랑호다 	 작아서위로치켜뜬모양하다
옴탕호다 	 오목하다
왁왁호다 	 캄캄하다
왕왕작작호다 	 떠들썩하다
요망지다 	 똑똑하다
조짝호다 	 불쑥나타나있다
좀질다 	 가늘다
좀좀호다 	 잠잠하다
패랍다 	 까다롭다
그저끼 	 그저께
아척 	 아침
그지게초냑 	 그저께저녁
언처냑 	 엊저녁
요뉠모리 	 내일모레
소시 	 요사이
숭년 	 흉년
저슬들언 	 겨울 된
갈라지다 	 헤어지다
데싸지다 	 자빠지다
감장돌다 	 맴돌다
거느리왕상호다 	 남의일을비평하다
거들락거리다 	 꺼떡거리다
거찌다 	 건드리다
걸러지다 	 거꾸러지다
고른배기 	 호다박자
고쩌사다 	 비켜서다
곤작싸다 	 재주넘다
꼴성그리다 	 얼굴을찡그리다
곱지다 	 숨기다
구숭호다 	 불평을말하다
꾸러박아지다 	 거꾸로박히다
귀태우다 	 은밀히알려주다
고끼다 	 숨막히다
골메드리다 	 차례로바꾸다
늘짝거리다 	 늑장부리다
끼리다 	 미끄러지다
다울리다 	 재촉하다
댕기다 	 다니다
데껴불다 	 던져버리다
되싸지다 	 갈라지다
들럭퀴다 	 날 뛰다
몽캐다 	 느리다
몽캐다 	 꾸물거리다
베르싸다 	 속이보이게열다
부수닥질호다 	부수어버리다
부에나다 	 화나다
쎄울르다 	 고함지르다
소곤닥호다 	 소근거리다
소도리호다 	 소문내다
속솜호다 	 잠잠하다
심벡호다 	 겨루다
악살호다 	 욕설하다
용심내다 	 성내다
조글리다 	 간지럽히다
저들다 	 걱정하다
다솟 	 다섯
예늘곱 	 예닐곱
요든 	 여든
일고  	 일곱 
여답 	여덟
요나문 	 여나믄
요섯 	 여섯
호나 	 하나
혼잠녀 	 해녀
상군 	 물질잘하는사람
요년난거 	 어린처녀욕
볼망텡이 	 밤따귀
미리내 	 은하수
비주제 	 소나기
상고지 	 무지개
우네 	 안개
노릇 	 공기
낭강알 	 나무그늘
돌 	 달
밸 	 별
돌생기 	 돌맹이
작지왓 	 자갈밭
구들 	 방
통시 	 화장실
벤소 	 화장실
석 	 줄
밭돌랭이 	 작은밭
돌 	 한 달
데맹이	머리
우뚝지	어깨
동무릅	무릎
발꼽데기	발
고찌 글라 고찌 가게 	같이 가요 함께 해요
느영 고찌 글민 지꺼짐이 열배여	너와 함께 하면 즐거움이 열배야
고찌 글라 고찌 가게 	같이 가요 함께 해요
느영 고찌 글민 지꺼짐이 백배여	너와 함께 하면 즐거움이 백배야
영도 곱닥헌 날 공기 좋고 사람 좋고	이렇게 예쁜 날 공기 좋고 사람 좋고
느영 나영 고찌 글민 무신 걱정시냐 	너와 함께 하니 무슨 걱정 있으랴
하영 골민 존다니	많이 말하면 잔소리야
먹당 보난 살아 지곡 살당 보난 먹어 져라	먹다 보니 살게 되고 살다 보니 먹게 되지
굶엉 보난 알아 져라 배고픔도 인생인 걸	굶어 보면 알게 되지 배고픔도 인생인 걸
어시민 어신양 그저 겅 살곡	없으면 없는대로 그저 그렇게 살고
이시민 이신양 나누멍 살주	있으면 있는대로 나누면서 살지
먹엄직이 살암직이 시상	먹어볼만한 살아볼만한 세상
우시멍 사는 시상이 사름 사는 시상이주	웃으며 사는 세상이 사람 사는 세상이지
울당 보난 살아 져라 	울다 보니 살게 되었지
웃당 보난 살아 져라	웃다 보니 살게 되었지
우는 삶도 웃는 삶도 고마운 인생이주	우는 삶도 웃는 삶도 고마운 인생이지
어시민 어신양 그저 겅 살곡	없으면 없는대로 그저 그렇게 살고
이시민 이신양 나누멍 살주	있으면 있는대로 나누면서 살지
먹엄직이 살암직이 시상	먹어 볼만한 살아 볼만한 세상
우시멍 사는 시상이 사름 사는 시상이주	웃으며 사는 세상이 사람 사는 세상이지
무명천 할머니 어디 감수과	무명천 할머니 어디 가십니까
무명천 할머니 펜안 허우꽈	무명천 할머니 편안 하십니까
4. 3 소건때 총 맞앙 턱을 잃엉 경 살았주	4. 3 사건때 총 맞아서 턱을 잃었네 그렇게 살았네
55년 간 말도 못허곡 음식도 못 먹으멍	55년 간 말도 못하고 음식도 못 먹으면서 
상처 난 얼굴 보일 수 어성 무명천을 둘렁	상처 난 얼굴 보일 수 없어 무명천을 둘렀네
목심은 건졌주만 살아도 산게 아니랐주	목숨은 건졌지만 살아도 산게 아니었네 
무명천 할망 이랜 날 불렀주만 	무명천 할머니 라고 날 불렀지만
나신디도 이름이 이서났주 	내게도 이름이 있었네
진아영 이우다	진아영 입니다
놈삐 좀질게 썰엉 솖앙	무채 썰어 끓는물에 데쳐
패마농이영 꿰고루 놩 섞엉	파와 깨가루 넣어 섞어서
모멀고루 풀엉 얄룹게 지졍	메밀가루 반죽하여 얇게 지져
그 우터레 놩 몰민	그 위에 놓고 말면
빙떡 이주게	빙떡 이지
두렁청이 어드레 가젠 햄시냐 	앞뒤분간못하고 어디로 가려고 하니
곱들락호게 촐려입어그네 이드레 와그네	예쁘게 차려입고 이쪽으로 와서는
느영나영 모다들어그네 터졍 도르게	너와내가 한데모여서 힘껏 달리자
빙삭허게 몬딱 베리난 보뎌감시녜	수줍게웃으며 모두 쳐다보니 정다워지네
도르라 조들지 마랑 도르라 몬딱 도르라	달려라 걱정하지 말고 달려라 모두 달려라
도드라 조들지 마랑 도르라 몬딱 도르라	달려라 걱정하지 말고 달려라 모두 달려라
용심 내멍 도톼 보난 알아졈시냐	화를 내며 다퉈 보니까 알겠니?
느영나영 심벡 해봐사 페들락 햄시녜	너와내가 경쟁해 봐야 감정상하기만할 뿐이네
돈 한 추룩 뺄라진 추룩 오시록 헌 추룩	돈이 많은 척 잘난 척 점 잖은 척
경 해 봐사 핏짝 허난 얼렁 뎅기게	그렇게 해 봐야 삐칠 뿐이니 달어 돌아다니자
도르라 조들지 마랑 도르라 몬딱 도르라	달려라 걱정하지 말고 달려라 모두 달려라
도드라 조들지 마랑 도르라 몬딱 도르라	달려라 걱정하지 말고 달려라 모두  달려라
아야 머리여 아야 머리여	아야 머리야 아야 머리야
입담허멍 두드렴시민	입담하며 두들기노라면
수꾸락 조루 거수루 심엉	숟가락 자루 거꾸로 잡고
차반이 바위 두드렴시민	채롱 옆을 두들기노라면
훌구룽 몰케염지덜	굵다란 말개미들이
고루삭삭 삐어지국	사방으로 흩어지고
어떵허코 어떵허코	어떻게하지 어떻게하지
핵교 가당 오줌 싸비언	학교 가는길에 오줌을 쌌어
어떵허코 어떵허코	어떻게하지 어떻게하지
핵교 가당 오줌 싸비언	학교 가는길에 오줌을 쌌어
어떵허코	어떻게하지
핵교 가당 오줌 싸비언	학교 가는길에 오줌을 쌌어
어떵 허코 어떵 허코	어떻게 하지 어떻게 하지
촘당 촘당 촘지 못행 나와부런게	참다가 참다가 참지 못해 나와버렸어
어떵 허코 어떵 허코	어떻게 하지 어떻게 하지
비가 왐시난 비 맞았덴 골라게	비가 내리니 비 맞았다고 말하렴.
나오는 걸 어떵 헐 수 이시냐	나오는 걸 어떻게 할 수 있겠니
어떵 허코 어떵 허코	어떻게 하지 어떻게 하지
겡이 잡당 맨질락허연	게를 잡다가 미끄러졌어
어떵 허코 어떵 허코	어떻게 하지 어떻게 하지
겡이 잡당 맨질락허연	게를 잡다가 미끄러졌어
어떵 허코	어떻게 하지
겡이 잡당 멘질락허연	게를 잡다가 미끄러졌어
어떵허당 어떵허당	어쩌다가 어쩌다가
곱은 겡이 지달리당 와락 덮쳤주	숨어있는 게를 기다리다가 갑자기 덮쳤지
경해그네 어떵 되연	그래서 어떻게 되었어
완존 뽈라라	정말 빨랐어
눈 감았당 터 보난	눈 감았다 떠 보니
물 쏘곱이 나만 빠졍 이서라	물 속에 나만 빠져 있었어
어떵허코 어떵허코 어떵허코 어떵허코	어떡하지 어떡하지 어떡하지 어떡하지
바당 바당 바당 바당 보름 보름 보름 보름	바다 바다 바다 바다 바람 바람 바람 바람
바당 바당 바당 바당 보름 보름 보름	바다 바다 바다 바다 바람 바람 바람 
날 막 좋앙 바당드레 강 모살밧듸 맨발로 걸엄쩌	날이 정말 좋아 바다에 가서 모래밭을 맨발로 걸었네
겡이 호나 나를 뵈련게 절지치는 디로 도람쩌	게 한 마리가 나를 보더니 파도치는 쪽으로 도망가네
어떵허코 잡아 보카 잡당 실수허민 아야 물릴건디	어쩌지 잡아 볼까 잡다 실수하면 아야 물릴 텐데.
바당 바당 바당 바당 보름 보름 보름 보름	바다 바다 바다 바다 바람 바람 바람 바람
바당 바당 제주 바당 보름 보름 보름	바다 바다 바다 바다 바람 바람 바람 
생이 생이 생이 생이 오름 오름 오름 오름	새 새 새 새 오름 오름 오름 오름
생이 생이 생이 생이 오름 오름 오름	새 새 새 새 오름 오름 오름
어멍이영 손 꼭 심엉 용눈이 오름 올람쩌	엄마랑 손 꼭 잡고 용눈이 오름을 오르네
생이 호나 나를 뵈련게 짹짹짹짹 소릴 호염쩌	새 한 마리 나를 보더니 짹짹짹짹 노래를 하네
어떵허코 잡아 보카 아맹 잡젠 해도 택도 어실건디	어쩌지 잡아 볼까 아무리 잡으려 해도 어림없을 텐데
이녁 가슴 쏘곱엔	당신의 마음 속엔
고은 꽃덜이 만발혼 생이라	고운 꽃들이 만발한 모양이야
영 골아도 빙세기 웃곡	이렇게 말해도 빙그레 웃고
정 골아도 빙세기 웃곡	저렇게 말해도 빙그레 웃고
이녁 가슴  쏘곱엔	당신의 마음 속엔
황소 혼마리 들어앉은 생이라	황소 한 마리 들어앉은 모양이야
영 골아도 속솜	이렇게 말해도 잠잠
정 골아도 속솜	저렇게 말해도 잠잠
이녁 가슴  쏘곱에 들어가 보젠	당신의 마음 속에 들어가 보려고
욕심이영 미움이영 	욕심과 미움이 
손  불끈 잡아둠서	손  불끈 잡아두고
기웃 기웃 거렴신디	기웃 기웃 거려보는데
꿀벌이영 일벌이영 	꿀벌과 일벌이
날아 댕기는걸 보난	날아다니는 걸 보니
이녁 가슴 쏘곱엔 	당신의 마음 속엔
송이꿀보다도 더 단	송이꿀보다도 더 달디단
무언가로 솜 빡혼  생이라	무언가로 꽉 들어찬  모양이야
휘이이	휘이이
보름 분다	바람 분다
보름 불어	바람 불어
저 바당이	저 바다가
저 보름이	저 바람이
손짓햄쩌	손짓하네
말 골암쩌	말을 하네
테왁 메영 골갱이 들렁	테왁 메고 호미를 들어
바당이영 춤을 추엄쩌	바다와 춤을 추네
우리 어멍 우리 바당	우리 엄마 우리 바다
혼몸 되엉 춤을 추엄쩌	한 몸 되어 춤을 추네
바당아 보름아	바다야 바람아
눈물 남쩌 눈물 남서	눈물 나네 눈물이 나
우리 어멍 지켜도라	우리 엄마 지켜다오
이어도 이어도 사나	이어도 이어도 사나
이어도 이어도 사나	이어도 이어도 사나
이어도 이어도 사나	이어도 이어도 사나
이어도 이어도 사나	이어도 이어도 사나
보름은 팡팡 불곡	바람은 세차게 불고
덜 요문 조코 고리	덜 익은 조 열매가
이레 배령 인사허곡	이쪽을 보면서 인사하고
저레 배령 인사허곡	저쪽을 보면서 인사하고
낭가쟁이덜은 서로 심벡허멍 좁아댕기곡	나뭇가지들은 서로 다투며 잡아당기고
절지치는 요메기 바당엔 빈 구젱기 껍데기 둥글어 댕기곡	파도치는 요메기 바다엔 빈 소라가 뒹굴어 다니고
담우이 걸쳐진 감저줄에	담위를 걸쳐친 고구마줄기에
동글동글 도라진 감저동가리 	동글동글 매달려있는 작은고구마
이래 도라앉작 저래 도라앉작	이리 흔들리고 저리 흔들리고
워어허허 보름 보름 보름 부는 제주의 하늘아	워어허허 바람 바람 바람 부는 제주의 하늘아
먹쿨낭 꼭대기에 앚인 먹쿨 생이 안 털어져보잰 낭가쟁이 꽉심엉 있곡	먹구슬나무 꼭대기에 앉은 먹구슬 새 안 떨어지려고 나뭇가지를 꽉잡고 있고
조밭 볼리는 몽생이 조름에 일어나는 흙구듬은 노미 밧더레 넘어가곡	조밭 밟는 망아지 뒤로 일어나는 흙먼지는 남의 밭으로 넘어가고
동네 큰 폭낭 아래 검불령 가젠허민	동네 큰 팽나무 아래 땀좀식히고 가려고하면
불어오는 저 보름은 무사 영 건드러운지	불어오는 저 바람은 왜 그리 간질이는지
기여 혼저 가라	그래 어서 가렴
기여 혼저 가라	그래 어서 가렴
보름아	바람아
해녀 삼춘 또시 또시 물에 감쩌	해녀 삼촌 다시 다시 바다 가네
테왁 메영 골갱이 들렁 좀수복 입엉 뒤뚱뒤뚱	테왁 메고 호미 들고 잠수복 입고 뒤뚱뒤뚱
절이치는 바당더레 강 보난	파도치는 바다로 가 보니
테왁덜이 동동동동 춤을 췀쩌	테왁들이 동동동동 춤을 추네
해녀 삼춘덜 또시 물에들었쩌	해녀 삼촌들 다시 물속으로
숨비소리 쏟아가멍 또시들멘	숨비소리 쏟아가며 물속으로
궤기추룩 홀랑홀랑 꼬릴 췀쩌	고기처럼 홀랑홀랑 꼬릴 치네
나도 확 벗엉 물쏘곱이 들어가보카	나도 확 벗고 물속으로 뛰어들까
테왁 들렁 이짝드레 온거 보난	 테왁 들고 이쪽으로 온거 보니
성게도 지깍 구젱기영 전복이영	성게도 가득 전복이랑 소라랑
아고 이건 뭐라 물꾸럭도 잡앙 와신게	아고 이건 뭐지 문어도 잡아 왔네요
아고 삼촌 물꾸럭 나 얼마마씸?	아고 삼촌 문어 한마리 얼마죠?
아고 조케야 느랑 기냥 거정가불라	아고 조카야 너는 그냥 가져가라
에고 무신 소리꽈 게민 조냑에랑 당근파당 거정안내주마씀	에고 무슨 말씀을 그럼 저녁에 당근파다 드릴게요
